"nSubmissionID","sItagID","dDateReviewed","sItagGovernanceType","sDecision","bConstraints","bActionItems"
"131","TGB019.2017","5/25/2017","Technology","Approved","True","False"
"143","TGB020.2017","5/25/2017","Technology","Approved","True","False"
"147","TGB021.2017","5/25/2017","Technology","Approved","True","True"
"144","AIGB027.2017","5/18/2017","Application","Approved","True","False"
"139","AIGB028.2017","5/18/2017","Application","Approved","False","False"
"142","TGB016.2017","5/11/2017","Technology","Approved","True","False"
"145","TGB017.2017","5/11/2017","Technology","Approved","False","False"
"140","TGB017.2017","5/11/2017","Technology","Approved","False","False"
"136","TGB018.2017","5/11/2017","Technology","Approved","True","False"
"138","AIGB024.2017","5/4/2017","Application","Approved","False","False"
"137","AIGB025.2017","5/4/2017","Technology","Approved","False","False"
"132","AIGB025.2017","5/4/2017","Application","Approved","True","False"
"128","AIGB026.2017","5/4/2017","Application","Approved","True","True"
"130","TGB014.2017","4/27/2017","Technology","Approved","True","False"
"127","TGB015.2017","4/27/2017","Technology","Approved","True","False"
"124","TGB010.2017","3/30/2017","Technology","Approved","False","True"
"78","TGB011.2017","3/30/2017","Technology","Approved","False","False"
"84","TGB012.2017","3/30/2017","Technology","Approved","False","False"
"122","AIGB023.2017","3/23/2017","Application","Approved","True","True"
"79","AIGB020.2017","3/9/2017","Application","Approved","False","True"
"18","AIGB021.2017","3/9/2017","Application","No Decision (ITAG Informed Only)","False","False"
"80","AIGB022.2017","3/9/2017","Application","Approved","False","False"
"82","TGB009.2017","3/9/2017","Application","Approved","True","True"
"70","TGB007.2017","3/2/2017","Technology","Approved","False","False"
"74","TGB008.2017","3/2/2017","Technology","Approved","True","False"
"72","AIGB008.2017","2/23/2017","Application","Approved","False","False"
"75","AIGB011.2017","2/23/2017","Application","Approved","False","False"
"76","TGB013.2017","2/16/2017","Technology","Approved","False","False"
"19","AIGB009.2017","2/8/2017","Application","Approved","False","False"
"68","TGB004.2017","2/2/2017","Technology","Approved","False","False"
"67","TGB005.2017","2/2/2017","Technology","Approved","False","False"
"69","TGB006.2017","2/2/2017","Technology","No Decision (ITAG Informed Only)","False","False"
"13","AIGB005.2017","1/26/2017","Application","Approved","False","False"
"14","AIGB006.2017","1/26/2017","Application","Approved","False","True"
"15","AIGB007.2017","1/26/2017","Application","Approved","False","False"
"17","AIGB010.2017","1/26/2017","Application","Approved","True","False"
"16","AIGB010.2017","1/26/2017","Application","Approved","True","False"
"58","TGB001.2017","1/19/2017","Technology","Approved","True","False"
"57","TGB002.2017","1/19/2017","Technology","Approved","True","False"
"61","TGB003.2017","1/19/2017","Technology","Approved","True","False"
"65","TGB003.2017","1/19/2017","Technology","Approved","True","False"
"64","TGB003.2017","1/19/2017","Technology","Approved","True","False"
"60","TGB003.2017","1/19/2017","Technology","Approved","True","False"
"59","TGB003.2017","1/19/2017","Technology","Approved","True","False"
"66","TGB003.2017","1/19/2017","Technology","Approved","True","False"
"63","TGB003.2017","1/19/2017","Technology","Approved","True","False"
"62","TGB003.2017","1/19/2017","Technology","Approved","True","False"
"11","AIGB002.2017","1/12/2017","Application","Approved","True","False"
"10","AIGB003.2017","1/12/2017","Application","Approved","True","False"
"12","AIGB004.2017","1/12/2017","Application","Approved","True","False"
"8","AIGB007.2016","12/15/2016","Application","Approved","False","False"
"7","AIGB008.2016","12/15/2016","Application","Approved","False","True"
"55","TGB033.2016","12/8/2016","Technology","Approved","True","False"
"1","AIGB002.2016","12/1/2016","Application","Approved","False","False"
"3","AIGB003.2016","12/1/2016","Application","Approved","False","True"
"4","AIGB004.2016","12/1/2016","Application","Approved","True","True"
"5","AIGB005.2016","12/1/2016","Application","Approved","False","False"
"6","AIGB006.2016","12/1/2016","Application","Approved","False","False"
"2","AIGB001.2016","11/21/2016","Application","Approved","False","False"
"53","TGB032.2016","11/10/2016","Technology","Approved","False","False"
"21","TGB027.2016","11/10/2016","Technology","Approved","False","False"
"54","TGB028.2016","11/10/2016","Technology","Approved","True","False"
"26","TGB029.2016","11/10/2016","Technology","Approved","False","True"
"20","TGB030.2016","11/10/2016","Technology","Approved","False","False"
"25","TGB031.2016","11/10/2016","Technology","Approved","True","True"
"88","AIGB021.2016","11/3/2016","Application","No Decision (ITAG Informed Only)","False","False"
"89","AIGB021.2016","11/3/2016","Application","No Decision (ITAG Informed Only)","False","False"
"90","AIGB021.2016","11/3/2016","Application","No Decision (ITAG Informed Only)","False","False"
"87","AIGB021.2016","11/3/2016","Application","No Decision (ITAG Informed Only)","False","False"
"91","AIGB021.2016","11/3/2016","Application","No Decision (ITAG Informed Only)","False","False"
"86","AIGB022.2016","11/3/2016","Application","Approved","False","False"
"22","TGB026.2016","10/27/2016","Technology","Approved","False","False"
"44","TGB024.2016","10/27/2016","Technology","Approved","True","True"
"95","AIGB018.2016","10/20/2016","Application","Approved","False","False"
"93","AIGB019.2016","10/20/2016","Integration","Approved","False","False"
"92","AIGB020.2016","10/20/2016","Integration","Approved","False","False"
"32","TGB022.2016","10/13/2016","Technology","Approved","True","True"
"24","TGB021.2016","10/13/2016","Technology","Approved","True","False"
"45","TGB018.2016","10/13/2016","Technology","Approved","False","False"
"33","TGB017.2016","10/13/2016","Technology","Approved","True","False"
"98","TGB043.2016","10/6/2016","Technology","Approved","True","False"
"100","TGB043.2016","10/6/2016","Technology","Approved","True","False"
"97","TGB043.2016","10/6/2016","Technology","Approved","True","False"
"99","TGB043.2016","10/6/2016","Technology","Approved","True","False"
"96","AIGB017.2016","10/6/2016","Application","Approved","False","False"
"39","TGB020.2016","9/29/2016","Cloud Use Case","Approved","False","True"
"38","TGB019.2016","9/29/2016","Cloud Use Case","Approved","False","True"
"30","TGB016.2016","9/29/2016","Technology","Approved","False","False"
"103","AIGB016.2016","9/22/2016","Application","Approved","False","False"
"102","TGB041.2016","9/22/2016","Technology","Approved","True","False"
"101","TGB042.2016","9/22/2016","Technology","Denied","False","False"
"105","AIGB014.2016","9/18/2016","Application","Approved","False","False"
"28","TGB012.2016","9/8/2016","Technology","Approved","False","False"
"107","AIGB012.2016","9/8/2016","Application","Approved","False","False"
"106","AIGB013.2016","9/8/2016","Application","Approved","False","False"
"104","AIGB015.2016","9/8/2016","Application","Approved","False","False"
"43","TGB015.2016","9/1/2016","Technology","Approved","False","True"
"46","TGB014.2016","9/1/2016","Technology","No Decision (ITAG Informed Only)","False","True"
"37","TGB013.2016","9/1/2016","Technology","No Decision (ITAG Informed Only)","False","False"
"31","TGB011.2016","8/18/2016","Technology","Approved","False","True"
"35","TGB010.2016","8/18/2016","Technology","Approved","False","False"
"36","TGB009.2016","8/18/2016","Technology","Approved","False","False"
"48","TGB008.2016","8/18/2016","Technology","Approved","True","True"
"42","TGB007.2016","8/18/2016","Technology","Approved","False","True"
"51","TGB006.2016","8/18/2016","Technology","Approved","True","True"
"49","TGB005.2016","8/18/2016","Technology","Approved","True","False"
"108","TGB040.2016","8/11/2016","Technology","Approved","False","False"
"110","TGB038.2016","7/28/2016","Technology","Approved","False","False"
"109","TGB039.2016","7/28/2016","Technology","Approved","False","False"
"27","TGB004.2016","7/21/2016","Technology","Approved","False","False"
"50","TGB003.2016","7/21/2016","Technology","Approved","False","True"
"113","AIGB009.2016","7/14/2016","Application","Approved","False","False"
"112","AIGB011.2016","7/14/2016","Application","Approved","False","False"
"111","TGB037.2016","7/14/2016","Technology","Approved","False","False"
"34","TGB002.2016","6/23/2016","Technology","Denied","False","True"
"47","TGB001.2016","6/23/2016","Technology","Approved","False","False"
"117","TGB034.2016","6/16/2016","Technology","Approved","False","False"
"116","TGB035.2016","6/16/2016","Technology","Approved","False","False"
"115","AIGB010.2016","6/16/2016","Application","Approved","False","False"
"114","TGB036.2016","6/16/2016","Technology","Approved","False","False"
"120","TGB048.2016","2/4/2016","Technology","Approved","False","True"
"121","TGB049.2016","2/4/2016","Technology","Approved","False","True"
